index,제목,저자,카테고리,판매가격,난이도,출판연도,대출가능,인기도
251,C++ STL 가이드,Sarah Park,C++,42000,입문,2024,0,0
252,C# 비동기 프로그래밍,Mike Lee,C#,32000,중급,2018,0,2
253,점프 투 파이썬,Linda Han,Python,38000,전문가,2016,1,0
254,C 시스템 프로그래밍,오동현,C,30000,고급,2018,0,1
255,스프링 부트 가이드,David Jung,Java,20000,고급,2016,1,2
256,열혈 C 프로그래밍,Amy Song,C,30000,중급,2017,0,2
257,C 메모리 관리,송지아,C,16000,초급,2017,0,0
258,C++ 완전 정복,Sarah Park,C++,35000,고급,2023,0,2
259,.NET Core 개발,박지훈,C#,30000,고급,2022,1,2
260,모던 C++17,박지훈,C++,18000,중급,2016,1,1
261,C++ 알고리즘,Sarah Park,C++,18000,전문가,2024,0,2
262,Java 멀티스레딩,Chris Oh,Java,14000,입문,2023,0,0
263,C로 배우는 OS,한예린,C,32000,초급,2020,1,2
264,파이썬 알고리즘,오동현,Python,28000,초급,2019,0,2
265,C# 유니티 게임,Brian Lim,C#,18000,초급,2024,1,2
266,C# 완벽 가이드,김민준,C#,15000,입문,2024,1,1
267,JPA 프로그래밍,Emily Cho,Java,12000,고급,2023,1,2
268,C 시스템 프로그래밍,송지아,C,38000,중급,2022,0,1
269,점프 투 파이썬,David Jung,Python,40000,고급,2022,0,1
270,리눅스 C 프로그래밍,정우성,C,32000,중급,2020,1,2
271,Spring Framework,Chris Oh,Java,16000,중급,2018,1,1
272,파이썬 알고리즘,David Jung,Python,25000,초급,2016,0,1
273,C 소켓 프로그래밍,Rachel Kang,C,40000,초급,2017,1,0
274,C# 비동기 프로그래밍,오동현,C#,20000,고급,2023,1,2
275,Effective C++,Linda Han,C++,12000,입문,2021,1,1
276,이펙티브 자바,Brian Lim,Java,35000,입문,2015,1,0
277,모던 C++17,Linda Han,C++,30000,전문가,2015,0,1
278,C++ 템플릿,임태양,C++,35000,고급,2020,0,2
279,C++ 완전 정복,Brian Lim,C++,22000,중급,2023,1,2
280,파이썬 딥러닝,Chris Oh,Python,42000,전문가,2019,0,0
281,스프링 부트 가이드,Mike Lee,Java,35000,중급,2023,1,2
282,이펙티브 자바,Rachel Kang,Java,38000,전문가,2015,0,0
283,점프 투 파이썬,James Kim,Python,45000,전문가,2022,0,0
284,C# 마이크로서비스,정우성,C#,32000,전문가,2020,0,2
285,모던 C++17,강하늘,C++,32000,전문가,2023,1,1
286,C# 디자인 패턴,Linda Han,C#,12000,중급,2020,0,2
287,모던 C++17,강하늘,C++,12000,전문가,2022,1,1
288,Blazor 웹 개발,송지아,C#,14000,전문가,2022,0,0
289,Blazor 웹 개발,Mike Lee,C#,18000,초급,2015,0,1
290,Java의 정석,David Jung,Java,32000,고급,2017,1,1
291,Java 멀티스레딩,Chris Oh,Java,45000,입문,2017,0,0
292,C# 비동기 프로그래밍,Linda Han,C#,38000,중급,2017,1,0
293,C# 비동기 프로그래밍,Amy Song,C#,35000,중급,2024,1,2
294,이펙티브 자바,임태양,Java,30000,초급,2019,1,2
295,JVM 튜닝,James Kim,Java,45000,중급,2023,1,1
296,열혈 C 프로그래밍,Brian Lim,C,38000,고급,2020,0,1
297,C 언어 본질,강하늘,C,15000,중급,2022,1,2
298,C++ 게임 프로그래밍,오동현,C++,28000,전문가,2019,0,1
299,NumPy & Pandas 가이드,Brian Lim,Python,25000,초급,2015,0,1
300,Java의 정석,최수빈,Java,40000,중급,2022,0,0
301,Java의 정석,Amy Song,Java,20000,고급,2022,1,2
302,Java 알고리즘,James Kim,Java,30000,입문,2016,0,1
303,C# 완벽 가이드,한예린,C#,40000,초급,2015,1,0
304,C++ 템플릿,강하늘,C++,14000,입문,2019,0,0
305,임베디드 C,David Jung,C,45000,초급,2023,1,1
306,C 포인터 정복,최수빈,C,32000,초급,2022,1,2
307,Java의 정석,James Kim,Java,30000,전문가,2018,0,1
308,C# LINQ 정복,Emily Cho,C#,32000,입문,2021,0,1
309,Java 객체지향,Linda Han,Java,32000,초급,2015,1,0
310,C++ 게임 프로그래밍,David Jung,C++,28000,중급,2019,0,2
311,C 알고리즘,송지아,C,14000,입문,2022,1,1
312,Java 멀티스레딩,Chris Oh,Java,30000,입문,2019,1,1
313,ASP.NET Core,송지아,C#,18000,고급,2017,1,2
314,C# 비동기 프로그래밍,Emily Cho,C#,45000,전문가,2018,0,0
315,.NET Core 개발,Chris Oh,C#,42000,전문가,2020,0,0
316,.NET Core 개발,이서연,C#,22000,전문가,2023,0,2
317,Spring Framework,Chris Oh,Java,42000,입문,2018,1,0
318,파이썬 크롤링,David Jung,Python,14000,고급,2017,1,1
319,모던 C++17,이서연,C++,42000,중급,2015,1,0
320,C 언어 본질,오동현,C,15000,입문,2021,1,1
321,파이썬 크롤링,이서연,Python,15000,고급,2015,1,1
322,C++ 템플릿,정우성,C++,40000,중급,2021,1,1
323,C++ 멀티스레딩,박지훈,C++,18000,중급,2016,0,2
324,C# LINQ 정복,Chris Oh,C#,18000,초급,2015,0,0
325,C 시스템 프로그래밍,Amy Song,C,40000,전문가,2021,0,0
326,JVM 튜닝,Sarah Park,Java,18000,중급,2018,0,2
327,파이썬 딥러닝,Rachel Kang,Python,12000,초급,2018,0,1
328,NumPy & Pandas 가이드,이서연,Python,42000,전문가,2015,0,0
329,파이썬 딥러닝,David Jung,Python,25000,전문가,2018,0,1
330,Java 디자인 패턴,강하늘,Java,25000,전문가,2020,1,2
331,Java 알고리즘,정우성,Java,25000,고급,2019,1,2
332,파이썬 크롤링,Brian Lim,Python,20000,고급,2023,1,2
333,Flask 웹 개발,Mike Lee,Python,32000,고급,2021,0,2
334,C 소켓 프로그래밍,한예린,C,45000,초급,2018,1,0
335,JVM 튜닝,이서연,Java,40000,고급,2023,0,1
336,C++ 게임 프로그래밍,임태양,C++,22000,중급,2016,1,1
337,열혈 C 프로그래밍,Amy Song,C,22000,입문,2019,1,1
338,Blazor 웹 개발,이서연,C#,15000,초급,2024,0,2
339,C++ 게임 프로그래밍,James Kim,C++,30000,입문,2018,0,1
340,Python 자동화,송지아,Python,22000,고급,2018,1,2
341,C 소켓 프로그래밍,David Jung,C,35000,중급,2019,1,1
342,WPF 프로그래밍,David Jung,C#,16000,고급,2020,0,2
343,C 알고리즘,Emily Cho,C,14000,전문가,2018,0,0
344,파이썬 알고리즘,Amy Song,Python,40000,중급,2017,0,0
345,C 포인터 정복,Mike Lee,C,25000,고급,2023,1,2
346,C 시스템 프로그래밍,Linda Han,C,42000,초급,2020,0,0
347,Java 디자인 패턴,Linda Han,Java,20000,전문가,2015,0,0
348,Python 완전 정복,김민준,Python,40000,초급,2018,0,0
349,Java의 정석,오동현,Java,42000,중급,2015,1,0
350,C++ 완전 정복,김민준,C++,40000,입문,2015,1,0
351,C# 디자인 패턴,김민준,C#,40000,초급,2016,0,0
352,C# 유니티 게임,송지아,C#,22000,전문가,2023,1,2
353,임베디드 C,Mike Lee,C,15000,중급,2021,1,2
354,ASP.NET Core,송지아,C#,30000,입문,2015,0,0
355,C++ 멀티스레딩,Mike Lee,C++,45000,입문,2015,0,0
356,Python 자동화,Emily Cho,Python,32000,전문가,2016,0,0
357,이펙티브 자바,Brian Lim,Java,45000,중급,2015,0,0
358,C 메모리 관리,Brian Lim,C,14000,초급,2020,0,2
359,JPA 프로그래밍,정우성,Java,38000,입문,2019,0,0
360,ASP.NET Core,Brian Lim,C#,38000,전문가,2020,1,0
361,스프링 부트 가이드,Chris Oh,Java,35000,입문,2016,1,0
362,스프링 부트 가이드,James Kim,Java,38000,중급,2015,1,0
363,언리얼 엔진 C++,송지아,C++,35000,전문가,2021,1,1
364,JPA 프로그래밍,Mike Lee,Java,15000,전문가,2019,0,0
365,파이썬 데이터 분석,임태양,Python,18000,고급,2017,1,2
366,C 알고리즘,최수빈,C,15000,입문,2019,1,0
367,임베디드 C,최수빈,C,18000,입문,2017,1,1
368,C++ 알고리즘,Amy Song,C++,40000,입문,2015,0,0
369,C 메모리 관리,박지훈,C,32000,고급,2015,1,1
370,C++ 멀티스레딩,박지훈,C++,25000,전문가,2023,0,2
371,C++ 템플릿,정우성,C++,28000,중급,2019,1,2
372,스프링 부트 가이드,한예린,Java,40000,중급,2021,1,1
373,모던 C++ 디자인,Sarah Park,C++,28000,초급,2022,0,2
374,모던 C++ 디자인,정우성,C++,30000,입문,2021,1,2
375,C# LINQ 정복,James Kim,C#,42000,중급,2021,0,0
376,C 알고리즘,Rachel Kang,C,22000,고급,2020,0,2
377,C++ STL 가이드,강하늘,C++,45000,전문가,2018,1,0
378,Effective C++,Mike Lee,C++,35000,입문,2024,0,1
379,C# 마이크로서비스,한예린,C#,12000,고급,2018,1,1
380,열혈 C 프로그래밍,Emily Cho,C,45000,초급,2019,0,0
381,C로 배우는 OS,Emily Cho,C,38000,입문,2022,1,0
382,C# LINQ 정복,Amy Song,C#,40000,전문가,2015,1,0
383,Blazor 웹 개발,박지훈,C#,16000,초급,2020,0,2
384,C# 완벽 가이드,Brian Lim,C#,38000,중급,2021,0,0
385,파이썬 데이터 분석,임태양,Python,25000,전문가,2023,0,2
386,C++ STL 가이드,Mike Lee,C++,42000,전문가,2023,0,0
387,C 언어 본질,Linda Han,C,16000,중급,2021,0,2
388,점프 투 파이썬,Sarah Park,Python,30000,중급,2022,0,2
389,WPF 프로그래밍,Sarah Park,C#,45000,입문,2022,1,0
390,열혈 C 프로그래밍,강하늘,C,14000,입문,2015,1,0
391,점프 투 파이썬,송지아,Python,20000,전문가,2017,1,1
392,C# LINQ 정복,David Jung,C#,25000,고급,2017,0,1
393,C++ 멀티스레딩,김민준,C++,22000,고급,2024,1,2
394,C++ 완전 정복,오동현,C++,22000,중급,2016,0,2
395,C# 유니티 게임,Sarah Park,C#,32000,초급,2022,0,2
396,C 시스템 프로그래밍,Chris Oh,C,32000,전문가,2021,1,1
397,.NET Core 개발,Sarah Park,C#,35000,고급,2024,0,2
398,리눅스 C 프로그래밍,Brian Lim,C,15000,초급,2020,0,2
399,Java 알고리즘,최수빈,Java,20000,중급,2017,1,2
400,모던 C++17,정우성,C++,38000,고급,2017,1,0
401,C# 유니티 게임,Amy Song,C#,20000,고급,2019,0,2
402,Spring Framework,David Jung,Java,14000,중급,2015,1,1
403,이펙티브 자바,Mike Lee,Java,45000,고급,2022,1,1
404,언리얼 엔진 C++,한예린,C++,15000,전문가,2015,0,0
405,C 언어 본질,임태양,C,25000,전문가,2019,0,1
406,모던 C++17,Linda Han,C++,16000,전문가,2016,1,0
407,C# 비동기 프로그래밍,Amy Song,C#,14000,고급,2023,0,2
408,모던 C++ 디자인,송지아,C++,30000,입문,2022,1,2
409,열혈 C 프로그래밍,David Jung,C,16000,초급,2018,1,1
410,C# LINQ 정복,한예린,C#,18000,초급,2018,0,1
411,C# 비동기 프로그래밍,Amy Song,C#,28000,전문가,2023,0,2
412,임베디드 C,강하늘,C,28000,전문가,2016,0,0
413,C++ 완전 정복,임태양,C++,18000,초급,2018,0,2
414,C 포인터 정복,Mike Lee,C,45000,초급,2024,1,1
415,C++ 멀티스레딩,David Jung,C++,15000,입문,2021,1,1
416,C 시스템 프로그래밍,Linda Han,C,32000,전문가,2015,0,0
417,C++ STL 가이드,박지훈,C++,38000,초급,2021,0,1
418,Effective C++,James Kim,C++,30000,중급,2023,0,2
419,WPF 프로그래밍,James Kim,C#,14000,입문,2016,1,0
420,파이썬 데이터 분석,한예린,Python,42000,고급,2015,1,0
421,Java 객체지향,강하늘,Java,20000,중급,2016,1,2
422,열혈 C 프로그래밍,Sarah Park,C,20000,입문,2021,1,2
423,Java 멀티스레딩,박지훈,Java,16000,입문,2018,1,0
424,점프 투 파이썬,Brian Lim,Python,25000,전문가,2022,0,2
425,Flask 웹 개발,최수빈,Python,40000,초급,2022,0,1
426,Java 멀티스레딩,박지훈,Java,16000,입문,2020,1,1
427,C로 배우는 OS,Mike Lee,C,18000,초급,2016,0,1
428,C# 유니티 게임,David Jung,C#,35000,초급,2017,1,1
429,WPF 프로그래밍,오동현,C#,15000,입문,2017,0,0
430,C# LINQ 정복,Sarah Park,C#,40000,중급,2017,0,0
431,열혈 C 프로그래밍,송지아,C,30000,입문,2019,0,0
432,Blazor 웹 개발,Chris Oh,C#,22000,고급,2019,0,2
433,JVM 튜닝,Mike Lee,Java,16000,초급,2022,0,2
434,C# 완벽 가이드,Sarah Park,C#,32000,초급,2021,1,2
435,C 메모리 관리,한예린,C,45000,입문,2015,0,0
436,파이썬 알고리즘,오동현,Python,14000,입문,2021,1,1
437,C# LINQ 정복,Emily Cho,C#,38000,입문,2023,0,0
438,열혈 C 프로그래밍,강하늘,C,15000,전문가,2018,0,0
439,C# 비동기 프로그래밍,Mike Lee,C#,15000,중급,2021,0,2
440,Python 머신러닝,박지훈,Python,40000,입문,2022,0,0
441,C로 배우는 OS,최수빈,C,12000,초급,2015,0,0
442,C++ STL 가이드,Chris Oh,C++,28000,초급,2020,0,2
443,열혈 C 프로그래밍,김민준,C,32000,고급,2019,0,1
444,리눅스 C 프로그래밍,박지훈,C,45000,고급,2023,1,1
445,Python 자동화,Brian Lim,Python,20000,중급,2017,1,2
446,NumPy & Pandas 가이드,최수빈,Python,25000,전문가,2015,0,1
447,Python 머신러닝,이서연,Python,45000,중급,2021,0,0
448,Java의 정석,Amy Song,Java,40000,초급,2020,0,0
449,C++ STL 가이드,임태양,C++,15000,전문가,2020,0,0
450,C# 완벽 가이드,한예린,C#,25000,전문가,2015,1,1
451,Python 자동화,강하늘,Python,30000,중급,2016,1,2
452,Flask 웹 개발,오동현,Python,30000,전문가,2019,0,1
453,C++ STL 가이드,Brian Lim,C++,45000,초급,2023,0,1
454,Java의 정석,Emily Cho,Java,12000,초급,2023,1,2
455,Flask 웹 개발,김민준,Python,38000,중급,2016,0,0
456,ASP.NET Core,Emily Cho,C#,45000,입문,2017,1,0
457,Python 완전 정복,송지아,Python,40000,중급,2022,0,0
458,.NET Core 개발,Chris Oh,C#,18000,고급,2016,0,1
459,C++ 템플릿,송지아,C++,30000,중급,2020,1,2
460,C 알고리즘,David Jung,C,28000,초급,2016,0,1
461,JPA 프로그래밍,최수빈,Java,18000,입문,2017,1,1
462,C++ STL 가이드,Emily Cho,C++,16000,전문가,2020,0,1
463,Effective C++,David Jung,C++,28000,입문,2016,0,0
464,리눅스 C 프로그래밍,이서연,C,22000,중급,2017,0,1
465,Spring Framework,Mike Lee,Java,14000,중급,2019,0,1
466,파이썬 딥러닝,David Jung,Python,25000,입문,2022,0,2
467,스프링 부트 가이드,김민준,Java,14000,초급,2017,0,0
468,C++ STL 가이드,박지훈,C++,28000,입문,2015,0,0
469,JVM 튜닝,정우성,Java,15000,중급,2016,0,1
470,C++ 완전 정복,한예린,C++,40000,고급,2022,0,1
471,C++ 멀티스레딩,한예린,C++,35000,초급,2017,1,0
472,C 시스템 프로그래밍,정우성,C,14000,전문가,2024,0,0
473,C 시스템 프로그래밍,Emily Cho,C,45000,입문,2016,1,0
474,C++ 템플릿,Emily Cho,C++,22000,전문가,2018,0,2
475,C++ STL 가이드,Linda Han,C++,45000,중급,2024,1,1
476,Effective C++,한예린,C++,12000,중급,2024,0,2
477,파이썬 알고리즘,이서연,Python,45000,전문가,2020,0,0
478,스프링 부트 가이드,송지아,Java,25000,중급,2023,0,2
479,JPA 프로그래밍,Mike Lee,Java,35000,초급,2017,0,0
480,C# 비동기 프로그래밍,Sarah Park,C#,12000,중급,2024,0,2
481,ASP.NET Core,Linda Han,C#,30000,초급,2022,0,2
482,Python 완전 정복,송지아,Python,25000,입문,2023,1,1
483,Flask 웹 개발,Rachel Kang,Python,22000,초급,2020,0,2
484,C 언어 본질,김민준,C,18000,전문가,2017,0,0
485,C# 비동기 프로그래밍,박지훈,C#,35000,고급,2024,0,1
486,임베디드 C,James Kim,C,18000,초급,2021,1,2
487,C로 배우는 OS,Amy Song,C,35000,초급,2024,0,1
488,Effective C++,강하늘,C++,18000,초급,2015,1,1
489,C# 완벽 가이드,한예린,C#,32000,전문가,2018,0,1
490,C++ 템플릿,James Kim,C++,15000,초급,2020,1,2
491,스프링 부트 가이드,James Kim,Java,42000,입문,2019,0,0
492,스프링 부트 가이드,Sarah Park,Java,28000,입문,2015,0,0
493,언리얼 엔진 C++,Emily Cho,C++,20000,고급,2022,1,2
494,C 메모리 관리,Mike Lee,C,16000,고급,2024,0,2
495,JVM 튜닝,박지훈,Java,14000,중급,2015,1,1
496,열혈 C 프로그래밍,박지훈,C,32000,초급,2021,0,1
497,파이썬 크롤링,박지훈,Python,32000,전문가,2024,1,1
498,파이썬 딥러닝,한예린,Python,40000,초급,2015,0,0
499,C 포인터 정복,오동현,C,40000,전문가,2023,1,0
